日期,身份別,多方交易口數,多方交易契約金額(百萬元),空方交易口數,空方交易契約金額(百萬元),多空交易口數淨額,多空交易契約金額淨額(百萬元),多方未平倉口數,多方未平倉契約金額(百萬元),空方未平倉口數,空方未平倉契約金額(百萬元),多空未平倉口數淨額,多空未平倉契約金額淨額(百萬元)
2020/6/9,自營商,285213,36136,287780,34759,-2567,1377,395473,66618,392630,50448,2843,16170
2020/6/9,投信,28,37,1056,2437,-1028,-2400,6321,9058,38777,81461,-32456,-72403
2020/6/9,外資及陸資,268103,176930,262778,171976,5325,4954,286002,166714,257620,82664,28382,84050
2020/6/10,自營商,399987,41661,380721,39530,19266,2131,350447,67872,348376,49395,2071,18477
2020/6/10,投信,338,639,840,1710,-502,-1071,6332,9146,39290,83235,-32958,-74089
2020/6/10,外資及陸資,293596,177486,299184,182366,-5588,-4880,277809,167420,256750,87474,21059,79946
2020/6/11,自營商,311655,49793,314070,50835,-2415,-1042,356470,62023,356856,44800,-386,17223
2020/6/11,投信,64,150,3484,7912,-3420,-7762,6238,8869,42616,89370,-36378,-80501
2020/6/11,外資及陸資,333492,259555,346254,254496,-12762,5059,283277,170216,274977,86715,8300,83501
2020/6/12,自營商,289301,48949,306421,47502,-17120,1447,362013,60756,379466,42244,-17453,18512
2020/6/12,投信,9352,17634,9783,20691,-431,-3057,6250,8758,43059,91612,-36809,-82854
2020/6/12,外資及陸資,384281,293558,396839,309456,-12558,-15898,289404,166161,293653,99329,-4249,66832
2020/6/15,自營商,353298,57275,347768,58218,5530,-943,378744,61447,390967,44125,-12223,17322
2020/6/15,投信,22789,46616,24570,49902,-1781,-3286,7709,9300,46299,94183,-38590,-84883
2020/6/15,外資及陸資,478771,394753,475779,387932,2992,6821,303021,164900,299625,92317,3396,72583
2020/6/16,自營商,421520,64810,395011,67842,26509,-3032,408680,61908,394134,47128,14546,14780
2020/6/16,投信,18128,34535,16942,31419,1186,3116,6287,8806,43691,92908,-37404,-84102
2020/6/16,外資及陸資,451687,353034,453759,355083,-2072,-2049,313639,176165,312342,103480,1297,72685
2020/6/17,自營商,477767,60639,466970,65616,10797,-4977,126219,45936,134278,29390,-8059,16546
2020/6/17,投信,850,1231,551,600,299,631,6540,9346,43645,93035,-37105,-83689
2020/6/17,外資及陸資,410471,264022,413872,263464,-3401,558,145507,144617,139830,80070,5677,64547
2020/6/18,自營商,215545,30461,213738,29615,1807,846,159888,49240,166225,31851,-6337,17389
2020/6/18,投信,80,179,88,193,-8,-14,6502,9290,43615,93250,-37113,-83960
2020/6/18,外資及陸資,260955,215518,267325,211887,-6370,3631,156918,147658,157638,79278,-720,68380
2020/6/19,自營商,178375,27393,182488,27900,-4113,-507,170090,51198,180780,34293,-10690,16905
2020/6/19,投信,146,333,124,283,22,50,6524,9355,43615,93364,-37091,-84009
2020/6/19,外資及陸資,236690,182193,245984,187196,-9294,-5003,160442,145015,170453,81606,-10011,63409
2020/6/22,自營商,281557,40092,268825,38251,12732,1841,200318,54219,198299,35455,2019,18764
2020/6/22,投信,427,923,373,852,54,71,6688,9687,43725,93715,-37037,-84028
2020/6/22,外資及陸資,263781,212377,274882,212786,-11101,-409,171523,156788,192623,93741,-21100,63047
2020/6/23,自營商,341761,39517,344133,39183,-2372,334,213211,56486,213794,37347,-583,19139
2020/6/23,投信,685,685,108,247,577,438,7230,10077,43690,93927,-36460,-83850
2020/6/23,外資及陸資,332929,247741,327376,244110,5553,3631,181711,161992,197261,95109,-15550,66883
2020/6/24,自營商,371379,33675,346234,35924,25145,-2249,167833,51166,171894,34142,-4061,17024
2020/6/24,投信,402,806,147,219,255,587,7165,9984,43370,93743,-36205,-83759
2020/6/24,外資及陸資,260209,165929,262668,164999,-2459,930,178032,166576,193380,98377,-15348,68199
2020/6/29,自營商,306140,46132,322552,42674,-16412,3458,194798,52074,215250,31848,-20452,20226
2020/6/29,投信,191,424,1444,3282,-1253,-2858,7288,10120,44746,95577,-37458,-85457
2020/6/29,外資及陸資,286916,242096,298677,249050,-11761,-6954,178308,157827,205414,97476,-27106,60351
2020/6/30,自營商,282024,33718,279797,32975,2227,743,198735,55436,217079,34318,-18344,21118
2020/6/30,投信,1139,2577,108,248,1031,2329,7406,10446,43833,94373,-36427,-83927
2020/6/30,外資及陸資,225713,161961,219379,161630,6334,331,186213,158142,203985,96830,-17772,61312
2020/7/1,自營商,419911,44273,387533,46875,32378,-2602,180697,54347,182230,35732,-1533,18615
2020/7/1,投信,302,531,145,217,157,314,7579,10872,43849,95028,-36270,-84156
2020/7/1,外資及陸資,270999,179871,263156,171128,7843,8743,192468,172762,199283,102403,-6815,70359
2020/7/2,自營商,244325,41444,240832,39996,3493,1448,213507,59378,211479,39049,2028,20329
2020/7/2,投信,908,2120,30,70,878,2050,7566,10985,42958,94187,-35392,-83202
2020/7/2,外資及陸資,233106,179975,226896,169374,6210,10601,211729,182007,212331,100065,-602,81942
