交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2023/1/3,TX,202301,14050,14247,13952,14230,95,0.67%,114614,14230,75102,14227,14231,15082,12631,,一般,
2023/1/3,TX,202301,14116,14132,14005,14096,-39,-0.28%,45492,-,-,14095,14096,15082,12631,,盤後,
2023/1/3,TX,202302,14036,14210,13924,14196,99,0.70%,1331,14196,1646,14191,14197,15052,13909,,一般,
2023/1/3,TX,202302,14078,14096,13974,14066,-31,-0.22%,568,-,-,14061,14065,15052,13909,,盤後,
2023/1/3,TX,202303,13986,14172,13900,14160,101,0.72%,127,14160,1400,14156,14164,17000,12563,,一般,
2023/1/3,TX,202303,14041,14063,13942,14060,1,0.01%,63,-,-,14028,14032,17000,12563,,盤後,
2023/1/3,TX,202306,13858,14062,13796,14062,102,0.73%,32,14062,474,14051,14061,15417,12496,,一般,
2023/1/3,TX,202306,13940,13950,13843,13892,-68,-0.49%,15,-,-,13924,13929,15417,12496,,盤後,
2023/1/3,TX,202309,13333,13534,13333,13534,44,0.33%,3,13583,272,13578,13589,14441,11969,,一般,
2023/1/3,TX,202309,13440,13440,13411,13411,-79,-0.59%,2,-,-,13457,13467,14441,11969,,盤後,
2023/1/3,TX,202312,13300,13502,13260,13502,90,0.67%,9,13502,27,13499,13509,13671,13257,,一般,
2023/1/3,TX,202312,13373,13373,13320,13325,-87,-0.65%,14,-,-,13373,13386,13671,13257,,盤後,
2023/1/4,TX,202301,14205,14271,14181,14208,-22,-0.15%,69531,14209,70972,14208,14210,15082,12631,,一般,
2023/1/4,TX,202301,14227,14315,14146,14182,-48,-0.34%,71193,-,-,14182,14187,15082,12631,,盤後,
2023/1/4,TX,202302,14171,14235,14149,14176,-20,-0.14%,847,14176,2196,14174,14178,15052,13909,,一般,
2023/1/4,TX,202302,14191,14278,14116,14150,-46,-0.32%,1205,-,-,14150,14155,15052,13909,,盤後,
2023/1/4,TX,202303,14125,14200,14119,14140,-20,-0.14%,96,14140,1431,14138,14143,17000,12563,,一般,
2023/1/4,TX,202303,14159,14235,14080,14089,-71,-0.50%,137,-,-,14114,14121,17000,12563,,盤後,
2023/1/4,TX,202306,14068,14099,14059,14059,-3,-0.02%,9,14038,470,14036,14041,15417,12496,,一般,
2023/1/4,TX,202306,14050,14131,14010,14010,-52,-0.37%,33,-,-,14010,14019,15417,12496,,盤後,
2023/1/4,TX,202309,13600,13600,13585,13597,14,0.10%,5,13567,271,13564,13571,14441,11969,,一般,
2023/1/4,TX,202309,13646,13650,13550,13550,-33,-0.24%,6,-,-,13539,13550,14441,11969,,盤後,
2023/1/4,TX,202312,13520,13520,13520,13520,18,0.13%,7,13487,31,13484,13491,13671,13257,,一般,
2023/1/4,TX,202312,13587,13587,13472,13500,-2,-0.01%,19,-,-,13456,13468,13671,13257,,盤後,
2023/1/5,TX,202301,14324,14375,14239,14289,80,0.56%,77650,14289,71755,14287,14291,15082,12631,,一般,
2023/1/5,TX,202301,14210,14350,14203,14330,121,0.85%,65203,-,-,14327,14330,15082,12631,,盤後,
2023/1/5,TX,202302,14287,14338,14206,14257,81,0.57%,1162,14254,2803,14251,14257,15052,13909,,一般,
2023/1/5,TX,202302,14175,14312,14175,14293,117,0.83%,1439,-,-,14290,14296,15052,13909,,盤後,
2023/1/5,TX,202303,14256,14300,14171,14193,53,0.37%,152,14218,1439,14215,14222,17000,12563,,一般,
2023/1/5,TX,202303,14180,14270,14145,14250,110,0.78%,178,-,-,14255,14261,17000,12563,,盤後,
2023/1/5,TX,202306,14155,14198,14097,14100,62,0.44%,15,14116,475,14112,14120,15417,12496,,一般,
2023/1/5,TX,202306,14088,14169,14050,14169,131,0.93%,22,-,-,14151,14158,15417,12496,,盤後,
2023/1/5,TX,202309,13702,13702,13599,13634,67,0.49%,7,13634,275,13631,13641,14441,11969,,一般,
2023/1/5,TX,202309,13600,13680,13600,13680,113,0.83%,6,-,-,13674,13684,14441,11969,,盤後,
2023/1/5,TX,202312,13538,13548,13538,13538,51,0.38%,4,13555,31,13550,13560,13671,13257,,一般,
2023/1/5,TX,202312,-,-,-,-,-,-,0,-,-,13594,13605,13671,13257,,盤後,
2023/1/6,TX,202301,14278,14403,14275,14364,75,0.52%,78727,14366,72568,14362,14365,15082,12631,,一般,
2023/1/6,TX,202301,14275,14330,14223,14237,-52,-0.36%,49922,-,-,14237,14242,15082,12631,,盤後,
2023/1/6,TX,202302,14240,14365,14240,14328,74,0.52%,1107,14330,3461,14326,14329,15052,13909,,一般,
2023/1/6,TX,202302,14240,14292,14193,14213,-41,-0.29%,846,-,-,14202,14210,15052,13909,,盤後,
2023/1/6,TX,202303,14218,14329,14218,14291,73,0.51%,226,14291,1500,14287,14292,17000,12563,,一般,
2023/1/6,TX,202303,14200,14256,14160,14200,-18,-0.13%,144,-,-,14167,14175,17000,12563,,盤後,
2023/1/6,TX,202306,14116,14226,14116,14196,80,0.57%,59,14196,485,14186,14191,15417,12496,,一般,
2023/1/6,TX,202306,14102,14132,14060,14080,-36,-0.26%,16,-,-,14065,14073,15417,12496,,盤後,
2023/1/6,TX,202309,13669,13720,13643,13701,67,0.49%,17,13701,269,13693,13704,14441,11969,,一般,
2023/1/6,TX,202309,13583,13583,13578,13578,-56,-0.41%,5,-,-,13582,13593,14441,11969,,盤後,
2023/1/6,TX,202312,13550,13619,13550,13619,64,0.47%,10,13619,35,13608,13618,13671,13257,,一般,
2023/1/6,TX,202312,13505,13520,13504,13520,-35,-0.26%,7,-,-,13498,13513,13671,13257,,盤後,
2023/1/9,TX,202301,14618,14770,14582,14769,403,2.81%,80242,14765,72740,14768,14769,15082,12631,,一般,
2023/1/9,TX,202301,14363,14619,14324,14587,221,1.54%,78655,-,-,14587,14588,15082,12631,,盤後,
2023/1/9,TX,202302,14570,14727,14543,14726,396,2.76%,1764,14724,4308,14727,14730,15052,13909,,一般,
2023/1/9,TX,202302,14335,14580,14290,14544,214,1.49%,1429,-,-,14545,14549,15052,13909,,盤後,
2023/1/9,TX,202303,14520,14683,14504,14682,391,2.74%,216,14682,1575,14685,14688,17000,12563,,一般,
2023/1/9,TX,202303,14305,14536,14252,14504,213,1.49%,302,-,-,14505,14510,17000,12563,,盤後,
2023/1/9,TX,202306,14418,14550,14403,14550,354,2.49%,45,14577,495,14573,14581,15417,12496,,一般,
2023/1/9,TX,202306,14187,14408,14187,14408,212,1.49%,37,-,-,14381,14396,15417,12496,,盤後,
2023/1/9,TX,202309,13952,14051,13952,14051,350,2.55%,15,14078,282,14072,14084,14441,11969,,一般,
2023/1/9,TX,202309,13686,13927,13686,13927,226,1.65%,32,-,-,13903,13912,14441,11969,,盤後,
2023/1/9,TX,202312,13871,13967,13843,13967,348,2.56%,10,13993,38,13987,13999,13967,13257,,一般,
2023/1/9,TX,202312,13620,13842,13620,13842,223,1.64%,8,-,-,13821,13831,13842,13257,,盤後,
2023/1/10,TX,202301,14745,14829,14735,14808,43,0.29%,69053,14810,69159,14808,14809,15082,12631,,一般,
2023/1/10,TX,202301,14760,14902,14731,14776,11,0.07%,59232,-,-,14776,14779,15082,12631,,盤後,
2023/1/10,TX,202302,14704,14790,14695,14772,48,0.33%,1318,14771,5008,14767,14770,15052,13909,,一般,
2023/1/10,TX,202302,14720,14859,14694,14735,11,0.07%,1389,-,-,14735,14741,15052,13909,,盤後,
2023/1/10,TX,202303,14667,14745,14662,14742,60,0.41%,126,14728,1591,14727,14730,17000,12563,,一般,
2023/1/10,TX,202303,14674,14812,14659,14693,11,0.07%,181,-,-,14696,14702,17000,12563,,盤後,
2023/1/10,TX,202306,14587,14622,14587,14617,40,0.27%,11,14617,489,14613,14620,15417,12496,,一般,
2023/1/10,TX,202306,14550,14701,14545,14587,10,0.07%,48,-,-,14588,14596,15417,12496,,盤後,
2023/1/10,TX,202309,14091,14131,14091,14131,53,0.38%,2,14131,267,14119,14127,14441,11969,,一般,
2023/1/10,TX,202309,14057,14211,14049,14202,124,0.88%,31,-,-,14088,14102,14441,11969,,盤後,
2023/1/10,TX,202312,14000,14020,14000,14005,12,0.09%,4,14031,42,14027,14036,14044,13257,,一般,
2023/1/10,TX,202312,14025,14044,14012,14044,51,0.36%,4,-,-,13995,14011,14044,13257,,盤後,
2023/1/11,TX,202301,14855,14884,14746,14792,-18,-0.12%,62375,14791,67074,14793,14794,15082,12631,,一般,
2023/1/11,TX,202301,14819,14874,14783,14868,58,0.39%,47526,-,-,14863,14869,15082,12631,,盤後,
2023/1/11,TX,202302,14823,14842,14709,14752,-19,-0.13%,1292,14752,5740,14752,14753,15052,13909,,一般,
2023/1/11,TX,202302,14762,14830,14745,14820,49,0.33%,734,-,-,14821,14829,15052,13909,,盤後,
2023/1/11,TX,202303,14791,14800,14669,14701,-27,-0.18%,92,14713,1609,14712,14714,17000,12563,,一般,
2023/1/11,TX,202303,14717,14780,14713,14780,52,0.35%,50,-,-,14779,14789,17000,12563,,盤後,
2023/1/11,TX,202306,14671,14685,14570,14595,-22,-0.15%,34,14595,480,14598,14602,15417,12496,,一般,
2023/1/11,TX,202306,14642,14661,14616,14661,44,0.30%,13,-,-,14666,14678,15417,12496,,盤後,
2023/1/11,TX,202309,14180,14180,14093,14093,-38,-0.27%,3,14108,269,14105,14112,14441,11969,,一般,
2023/1/11,TX,202309,14146,14165,14127,14165,34,0.24%,4,-,-,14168,14183,14441,11969,,盤後,
2023/1/11,TX,202312,14072,14072,13980,14022,-9,-0.06%,7,14022,44,14013,14020,14072,13257,,一般,
2023/1/11,TX,202312,14072,14072,14072,14072,41,0.29%,1,-,-,14077,14093,14072,13257,,盤後,
2023/1/12,TX,202301,14825,14840,14709,14768,-23,-0.16%,68357,14766,65393,14767,14769,15082,12631,,一般,
2023/1/12,TX,202301,14778,14872,14713,14857,66,0.45%,40826,-,-,14856,14860,15082,12631,,盤後,
2023/1/12,TX,202302,14779,14800,14670,14728,-24,-0.16%,2675,14726,7325,14726,14729,15052,13909,,一般,
2023/1/12,TX,202302,14743,14830,14675,14813,61,0.41%,1095,-,-,14814,14819,15052,13909,,盤後,
2023/1/12,TX,202303,14748,14757,14637,14696,-17,-0.12%,109,14696,1657,14687,14692,17000,12563,,一般,
2023/1/12,TX,202303,14686,14788,14645,14768,55,0.37%,132,-,-,14774,14780,17000,12563,,盤後,
2023/1/12,TX,202306,14631,14631,14520,14575,-20,-0.14%,9,14575,479,14573,14580,15417,12496,,一般,
2023/1/12,TX,202306,14568,14650,14539,14640,45,0.31%,9,-,-,14660,14668,15417,12496,,盤後,
2023/1/12,TX,202309,14102,14102,14102,14102,-6,-0.04%,1,14102,269,14087,14098,14441,11969,,一般,
2023/1/12,TX,202309,14045,14099,14045,14099,-9,-0.06%,3,-,-,14170,14181,14441,11969,,盤後,
2023/1/12,TX,202312,14000,14000,13997,13997,-25,-0.18%,2,13997,46,13997,14005,14072,13257,,一般,
2023/1/12,TX,202312,-,-,-,-,-,-,0,-,-,14076,14086,14072,13257,,盤後,
2023/1/13,TX,202301,15000,15016,14822,14833,67,0.45%,83193,14834,63944,14833,14835,15082,12631,,一般,
2023/1/13,TX,202301,14771,15020,14720,14972,206,1.40%,103547,-,-,14971,14974,15082,12631,,盤後,
2023/1/13,TX,202302,14941,14971,14784,14792,66,0.45%,6756,14793,11796,14791,14795,15052,13909,,一般,
